                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93755,                 2.2185,                 1.3575,                0.36081,                0.40225,                 0.3169,                0.21581,                 1.3214,                  3.165,                 1.8519,                0.06719,             3.2843e-05,             3.2843e-05
                      1,                0.81512,                 1.7052,                 1.2593,                0.51968,                0.58723,                0.57804,                0.41739,                 1.1107,                 1.3565,                 1.4919,               0.033889,             6.5521e-05,             6.5521e-05
                      2,                 0.7723,                 1.5897,                 1.2329,                0.63826,                0.56101,                0.61801,                0.46346,                 1.0201,                 1.4747,                 1.4024,             0.00058774,              9.754e-05,              9.754e-05
                      3,                0.76675,                 1.5497,                 1.2403,                0.54482,                0.61762,                0.60983,                0.44448,                 1.0686,                 1.3471,                 1.4429,              9.703e-05,              9.703e-05,              9.703e-05
                      4,                0.72123,                 1.4575,                 1.2056,                0.63982,                0.56632,                0.63206,                0.46038,                 1.0501,                 1.3465,                 1.4315,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.70588,                 1.3588,                 1.1967,                0.63305,                0.59177,                0.65232,                0.49125,                 1.0204,                 1.3422,                  1.442,              9.604e-05,              9.604e-05,              9.604e-05
                      6,                0.70077,                 1.3023,                 1.1845,                0.67504,                0.55913,                0.57312,                 0.4245,                 1.0639,                 1.5476,                 1.4809,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.67584,                 1.2284,                 1.1748,                0.62035,                0.65244,                0.65742,                0.47231,                 1.1224,                 1.4036,                 1.5487,              9.406e-05,              9.406e-05,              9.406e-05
                      8,                0.66281,                 1.2271,                 1.1706,                0.69984,                0.59913,                 0.6541,                0.48168,                 1.1229,                 1.3105,                 1.5454,              9.307e-05,              9.307e-05,              9.307e-05
                      9,                0.63653,                 1.1445,                 1.1538,                 0.7431,                0.59131,                 0.6893,                 0.5065,                 1.0399,                 1.2608,                 1.4632,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                0.64003,                 1.1227,                 1.1511,                 0.6628,                0.65685,                 0.6981,                0.52111,                 1.0447,                 1.2038,                 1.4374,              9.109e-05,              9.109e-05,              9.109e-05
                     11,                0.63277,                 1.0831,                 1.1407,                0.71738,                0.60245,                0.69612,                0.53574,                 1.0115,                 1.2056,                 1.4473,               9.01e-05,               9.01e-05,               9.01e-05
                     12,                0.62126,                 1.0355,                 1.1298,                0.72829,                0.60611,                0.69046,                0.53365,                0.97624,                 1.1925,                 1.3956,              8.911e-05,              8.911e-05,              8.911e-05
                     13,                0.61113,                 1.0001,                 1.1294,                0.71772,                0.66174,                0.71502,                0.54926,                 1.0357,                 1.1134,                 1.4616,              8.812e-05,              8.812e-05,              8.812e-05
                     14,                0.58989,                0.95909,                 1.1077,                0.69939,                0.63236,                0.69505,                0.53472,                 1.0079,                 1.1959,                 1.4607,              8.713e-05,              8.713e-05,              8.713e-05
                     15,                0.62326,                0.99663,                 1.1308,                0.71961,                0.69689,                0.73749,                 0.5578,                 1.0184,                 1.1454,                 1.4446,              8.614e-05,              8.614e-05,              8.614e-05
                     16,                0.58848,                0.91878,                 1.1067,                0.71406,                0.68602,                0.72622,                0.55869,                 1.0589,                 1.1237,                 1.4677,              8.515e-05,              8.515e-05,              8.515e-05
                     17,                 0.5841,                0.91435,                  1.112,                 0.7111,                0.66985,                0.73638,                0.57201,                 1.0221,                 1.1146,                 1.4692,              8.416e-05,              8.416e-05,              8.416e-05
                     18,                0.56593,                0.88073,                 1.0991,                0.82137,                0.62721,                0.73237,                0.55719,                 1.0122,                 1.1066,                 1.4317,              8.317e-05,              8.317e-05,              8.317e-05
                     19,                0.57108,                0.85998,                 1.0998,                0.74607,                0.68532,                0.74929,                0.57311,                0.99481,                 1.0345,                 1.4236,              8.218e-05,              8.218e-05,              8.218e-05
                     20,                0.56622,                0.86041,                 1.1029,                0.72754,                0.71892,                0.75006,                0.57009,                 1.0209,                 1.0266,                 1.4628,              8.119e-05,              8.119e-05,              8.119e-05
                     21,                0.54197,                0.83218,                 1.0947,                0.77943,                0.67462,                0.75738,                0.57892,                 1.0264,                 1.0483,                 1.4505,               8.02e-05,               8.02e-05,               8.02e-05
                     22,                0.54334,                0.81695,                 1.0903,                0.74512,                0.69325,                 0.7651,                0.58947,                 0.9859,                 1.0675,                 1.4527,              7.921e-05,              7.921e-05,              7.921e-05
                     23,                0.53034,                0.80049,                 1.0745,                 0.6837,                0.64854,                0.69818,                0.54246,                0.99028,                 1.2389,                  1.492,              7.822e-05,              7.822e-05,              7.822e-05
                     24,                0.53709,                0.77215,                 1.0805,                0.65514,                0.72672,                0.72975,                 0.5516,                 1.0244,                   1.03,                 1.4535,              7.723e-05,              7.723e-05,              7.723e-05
                     25,                0.52377,                0.75575,                 1.0727,                0.75537,                0.66556,                0.72917,                0.55097,                 1.0349,                 1.0739,                 1.4779,              7.624e-05,              7.624e-05,              7.624e-05
                     26,                0.50912,                0.75524,                 1.0729,                0.76625,                0.66166,                0.75745,                0.58129,                 1.0104,                  1.018,                 1.4943,              7.525e-05,              7.525e-05,              7.525e-05
                     27,                0.51441,                0.73358,                 1.0665,                0.67645,                 0.6458,                0.69935,                0.52619,                 1.0386,                 1.2678,                 1.4731,              7.426e-05,              7.426e-05,              7.426e-05
                     28,                0.51549,                0.72112,                 1.0662,                0.67051,                0.71735,                0.71422,                0.55697,                 1.0076,                 1.1199,                 1.4641,              7.327e-05,              7.327e-05,              7.327e-05
                     29,                0.49867,                0.69639,                 1.0588,                0.72712,                0.64052,                0.71447,                0.55115,                 1.0345,                 1.1758,                 1.4613,              7.228e-05,              7.228e-05,              7.228e-05
                     30,                0.50349,                0.69618,                 1.0554,                0.78925,                0.63677,                 0.7277,                0.56554,                   1.05,                 1.1108,                 1.4674,              7.129e-05,              7.129e-05,              7.129e-05
                     31,                0.49707,                0.70161,                 1.0569,                0.71869,                0.68255,                0.74916,                0.57829,                 1.0411,                 1.0862,                 1.5202,               7.03e-05,               7.03e-05,               7.03e-05
                     32,                 0.4819,                0.67126,                 1.0327,                0.69733,                  0.745,                0.74757,                0.58286,                 1.0269,                 1.0239,                 1.4628,              6.931e-05,              6.931e-05,              6.931e-05
                     33,                0.47817,                0.65417,                 1.0357,                0.75466,                0.69238,                0.75939,                0.59848,                 1.0205,                 1.0402,                 1.4552,              6.832e-05,              6.832e-05,              6.832e-05
                     34,                0.49581,                 0.6842,                 1.0412,                0.68333,                0.64764,                0.71599,                0.55356,                 1.0433,                 1.2984,                 1.4735,              6.733e-05,              6.733e-05,              6.733e-05
                     35,                0.47767,                0.62822,                 1.0348,                0.71887,                0.76036,                0.75875,                0.58828,                 1.0169,                 1.0591,                 1.4487,              6.634e-05,              6.634e-05,              6.634e-05
                     36,                0.45698,                0.60366,                 1.0189,                0.69706,                0.74399,                0.76946,                0.59638,                 1.0057,                 1.0879,                 1.4578,              6.535e-05,              6.535e-05,              6.535e-05
                     37,                0.45676,                0.60942,                 1.0173,                0.67251,                 0.7474,                 0.7584,                0.57948,                 1.0392,                 1.1112,                 1.4541,              6.436e-05,              6.436e-05,              6.436e-05
                     38,                0.45675,                0.59098,                 1.0253,                0.68789,                0.73576,                0.75912,                0.59627,                   1.03,                 1.0673,                 1.4571,              6.337e-05,              6.337e-05,              6.337e-05
                     39,                0.44663,                0.60134,                 1.0168,                0.77214,                0.71427,                0.76549,                0.59286,                 1.0603,                 1.0524,                  1.497,              6.238e-05,              6.238e-05,              6.238e-05
